params,solute,mean_abs_err,max_abs_err
"{""transport_type"": ""average"", ""fill_volume"": 1500, ""exchange_time"": 60}",urea,0.0016791532453644558,0.005321071286227941
"{""transport_type"": ""average"", ""fill_volume"": 1500, ""exchange_time"": 60}",creatinine,4.7731047469613825e-05,0.00015458020182224086
"{""transport_type"": ""average"", ""fill_volume"": 1500, ""exchange_time"": 60}",glucose,0.0314934623592249,0.16281552407562572
"{""transport_type"": ""average"", ""fill_volume"": 1500, ""exchange_time"": 60}",sodium,0.04702045203409799,0.25938391610975486
"{""transport_type"": ""average"", ""fill_volume"": 1500, ""exchange_time"": 90}",urea,0.0016791532453644558,0.005321071286227941
"{""transport_type"": ""average"", ""fill_volume"": 1500, ""exchange_time"": 90}",creatinine,4.7731047469613825e-05,0.00015458020182224086
"{""transport_type"": ""average"", ""fill_volume"": 1500, ""exchange_time"": 90}",glucose,0.0314934623592249,0.16281552407562572
"{""transport_type"": ""average"", ""fill_volume"": 1500, ""exchange_time"": 90}",sodium,0.04702045203409799,0.25938391610975486
"{""transport_type"": ""average"", ""fill_volume"": 2000, ""exchange_time"": 60}",urea,0.0005207618069729173,0.0019042833751887756
"{""transport_type"": ""average"", ""fill_volume"": 2000, ""exchange_time"": 60}",creatinine,1.4198612671179755e-05,5.3606556641383474e-05
"{""transport_type"": ""average"", ""fill_volume"": 2000, ""exchange_time"": 60}",glucose,0.025194284589419524,0.041330399701280385
"{""transport_type"": ""average"", ""fill_volume"": 2000, ""exchange_time"": 60}",sodium,0.03804555623922212,0.06552155012792582
"{""transport_type"": ""average"", ""fill_volume"": 2000, ""exchange_time"": 90}",urea,0.0005207618069729173,0.0019042833751887756
"{""transport_type"": ""average"", ""fill_volume"": 2000, ""exchange_time"": 90}",creatinine,1.4198612671179755e-05,5.3606556641383474e-05
"{""transport_type"": ""average"", ""fill_volume"": 2000, ""exchange_time"": 90}",glucose,0.025194284589419524,0.041330399701280385
"{""transport_type"": ""average"", ""fill_volume"": 2000, ""exchange_time"": 90}",sodium,0.03804555623922212,0.06552155012792582
"{""transport_type"": ""fast"", ""fill_volume"": 1500, ""exchange_time"": 60}",urea,0.0036788135497433944,0.013260976131823199
"{""transport_type"": ""fast"", ""fill_volume"": 1500, ""exchange_time"": 60}",creatinine,0.00011065767435693811,0.0004130266569497554
"{""transport_type"": ""fast"", ""fill_volume"": 1500, ""exchange_time"": 60}",glucose,0.03364137789365884,0.16991137391636357
"{""transport_type"": ""fast"", ""fill_volume"": 1500, ""exchange_time"": 60}",sodium,0.05442173357909752,0.2713246242004743
"{""transport_type"": ""fast"", ""fill_volume"": 1500, ""exchange_time"": 90}",urea,0.0036788135497433944,0.013260976131823199
"{""transport_type"": ""fast"", ""fill_volume"": 1500, ""exchange_time"": 90}",creatinine,0.00011065767435693811,0.0004130266569497554
"{""transport_type"": ""fast"", ""fill_volume"": 1500, ""exchange_time"": 90}",glucose,0.03364137789365884,0.16991137391636357
"{""transport_type"": ""fast"", ""fill_volume"": 1500, ""exchange_time"": 90}",sodium,0.05442173357909752,0.2713246242004743
"{""transport_type"": ""fast"", ""fill_volume"": 2000, ""exchange_time"": 60}",urea,0.0009281479098491058,0.003907544530092011
"{""transport_type"": ""fast"", ""fill_volume"": 2000, ""exchange_time"": 60}",creatinine,2.5987569610835415e-05,0.00011465147215503069
"{""transport_type"": ""fast"", ""fill_volume"": 2000, ""exchange_time"": 60}",glucose,0.02320131255523039,0.04401074287909523
"{""transport_type"": ""fast"", ""fill_volume"": 2000, ""exchange_time"": 60}",sodium,0.033782497908454445,0.06973306829468129
"{""transport_type"": ""fast"", ""fill_volume"": 2000, ""exchange_time"": 90}",urea,0.0009281479098491058,0.003907544530092011
"{""transport_type"": ""fast"", ""fill_volume"": 2000, ""exchange_time"": 90}",creatinine,2.5987569610835415e-05,0.00011465147215503069
"{""transport_type"": ""fast"", ""fill_volume"": 2000, ""exchange_time"": 90}",glucose,0.02320131255523039,0.04401074287909523
"{""transport_type"": ""fast"", ""fill_volume"": 2000, ""exchange_time"": 90}",sodium,0.033782497908454445,0.06973306829468129
