t,V_D,V_B,C_D_urea,C_B_urea,C_D_creatinine,C_B_creatinine,C_D_glucose,C_B_glucose,C_D_sodium,C_B_sodium,C_D_beta2m,C_B_beta2m,C_D_albumin,C_B_albumin
0,2500,0,0,0,0,0,83.25,0,132,0,0,0,0,0
0.02,2503.39,0,0.0018889,0,2.86286e-05,0,83.3975,0,132.246,0,8.49441e-09,0,1.2717e-05,0
1.02,2672.95,0,0.0935745,0,0.00141936,0,90.555,0,144.166,0,4.2157e-07,0,0.000631207,0
2.02,2842.69,0,0.180258,0,0.00273625,0,97.3187,0,155.408,0,8.13485e-07,0,0.00121814,0
3.02,3012.6,0,0.262472,0,0.00398705,0,103.731,0,166.045,0,1.18642e-06,0,0.00177678,0
4.02,3182.69,0,0.340667,0,0.00517833,0,109.827,0,176.141,0,1.54224e-06,0,0.00230988,0
5.02,3352.93,0,0.415228,0,0.00631572,0,115.637,0,185.748,0,1.88252e-06,0,0.00281979,0
6.02,3523.32,0,0.486487,0,0.00740407,0,121.187,0,194.912,0,2.20865e-06,0,0.00330858,0
7.02,3693.85,0,0.55473,0,0.00844758,0,126.501,0,203.672,0,2.52181e-06,0,0.00377802,0
8.02,3864.53,0,0.620208,0,0.00944994,0,131.598,0,212.061,0,2.82304e-06,0,0.00422965,0
9.02,4035.33,0,0.683143,0,0.0104144,0,136.495,0,220.112,0,3.11328e-06,0,0.00466487,0
10.02,4206.26,0,0.743727,0,0.0113438,0,141.208,0,227.849,0,3.39334e-06,0,0.00508488,0
11.02,4377.32,0,0.802135,0,0.0122406,0,145.75,0,235.296,0,3.66394e-06,0,0.00549076,0
12.02,4548.49,0,0.858521,0,0.0131073,0,150.133,0,242.475,0,3.92573e-06,0,0.00588348,0
13.02,4616.43,0,0.913336,0,0.0139505,0,152.531,0,246.492,0,4.18075e-06,0,0.00626611,0
14.02,4587.74,0,0.968427,0,0.0147988,0,153.18,0,247.735,0,4.43759e-06,0,0.00665151,0
15,4474.47,85.1667,1.04243,1.01196,0.0159368,0.0154701,156.748,153.089,253.699,247.754,4.78165e-06,4.64129e-06,0.00716771,0.00695725
